Station ID,Province,Station name,Station agency,Meteogram flag
615,BC,Pam Rocks (AU8),EC,0
3578,BC,Pemberton Airport (Wind),EC,0
625,BC,Pemberton Airport CS (AU8),NAVCAN,0
607,BC,Penticton Airport (WS3/ATO),NAVCAN,0
513,BC,Pine Pass,BCHydro,0
641,BC,Pitt Meadows (AU8),EC,0
654,BC,Point Atkinson CS (AU8),EC,0
649,BC,Port Alberni (AU2),EC,0
610,BC,Port Hardy Airport (W04/ATO),NAVCAN,0
3557,BC,Port Mellon,EC,0
3559,BC,Powell River Airport,EC,0
593,BC,Powell River Airport (CON),NAVCAN,0
3571,BC,Prince George Airport Auto,EC,0
602,BC,Prince George Airport (WO4),NAVCAN,0
3563,BC,Prince George Massey Auto,EC,0
592,BC,Prince Rupert Airprot (ATI),NAVCAN,0
586,BC,Princeton Airport (CON),NAVCAN,0
646,BC,Princeton (AU8),EC,0
647,BC,Puntzi Mountain (AU2),EC,0
3560,BC,Qualicum Beach Airport,EC,0
3507,BC,Quality Wind,BCHydro,0
3564,BC,Quesnel Airport Auto,EC,0
595,BC,Quesnel Airport (ATI),NAVCAN,0
650,BC,Race Rocks (AU8),EC,0
3565,BC,Revelstoke Airport Auto,EC,0
596,BC,Revelstoke Airport (AU5),NAVCAN,0
399,BC,Richmond South,GVRD,0
3160,BC,Roger's Pass,BCHydro,0
652,BC,Rose Spit (AU4),EC,0
656,BC,Salmon Arm (AU8),EC,0
671,BC,Sand Heads CS (AU8),EC,0
3574,BC,Sandspit Airport Auto,EC,0
609,BC,Sandspit Airport (AU5),NAVCAN,0
622,BC,Sartine Island (AU4),EC,0
3568,BC,Saturna Capmon CS,EC,0
2632,BC,Saturna Island,EC,0
2172,BC,Sayward CXFA,NCEP,0
3561,BC,Sechelt Airport,EC,0
3161,BC,Shalalth,BCHydro,0
657,BC,Sheringham Pt. (AU8),EC,0
626,BC,Sisters Island (AU8),EC,0
3573,BC,Smithers Airport Auto,EC,0
605,BC,Smithers Airport (ATI),NAVCAN,0
653,BC,Solander Island (AU4),EC,0
627,BC,Sparwood (AU8),EC,0
571,BC,Sparwood/Elk Valley (CON),NAVCAN,0
655,BC,Squamish Airport (AU8),EC,0
419,BC,Stave R. above Stave Lk.,BCHydro,0
420,BC,Stave R. Upper,BCHydro,0
612,BC,Stewart Airport (CON),NAVCAN,0
460,BC,Strathcona Dam,BCHydro,0
670,BC,Summerland (AU8),EC,0
398,BC,Surrey East,GVRD,0
684,BC,Tatlayoko Lake RCS,EC,0
603,BC,Terrace Airport (W04/ATO),NAVCAN,0
579,BC,Tofino Airport (CON),NAVCAN,0
3567,BC,Tsawwassen Ferry Auto,EC,0
2738,BC,Tsawwassen Firehall (Rooftop),UBC_RS,0
4014,BC,UBC Delta Firehall no. 7,UBC_RS,0
3510,BC,UBC ESB Rooftop,UBC_RS,1
428,BC,Upper Cheakamus,BCHydro,0
628,BC,Vancouver Harbour (AU8),EC,0
411,BC,Vancouver International Airport,GVRD,0
597,BC,Vancouver International Airport (WS3),NAVCAN,0
3569,BC,Vancouver Sea Island CCG,EC,0
633,BC,Vernon (AU8),EC,0
2157,BC,Victoria CWYJ,NCEP,0
638,BC,Victoria Gonzales (AU8),EC,0
598,BC,Victoria Harbour,NAVCAN,0
608,BC,Victoria International Airport,NAVCAN,0
676,BC,Victoria University (AU8),EC,0
421,BC,Wahleach (Jones) Res.,BCHydro,0
685,BC,Warfield RCS,EC,0
3580,YT,Watson Lake Airport,EC,0
673,BC,West Vancouver (AU8),EC,0
3572,YT,Whitehouse Auto,EC,0
674,BC,White Rock (AU8),EC,0
599,BC,Williams Lake Airport,NAVCAN,0
463,BC,Wolf R. Upper,BCHydro,0
519,BC,Wonowon,BCHydro,0
677,BC,Yoho Park (AU8),EC,0
3011,NWT,CWQY,NCEP,0
1725,NWT,Fort Providence CWID,NCEP,0
2174,NWT,Holman CXHI,NCEP,0
714,NWT,Yellowknife CWFZ,NCEP,0
721,NWT,Yellowknife CYZF,NCEP,0
2358,NWT,Cape Parry CZCP,NCEP,0
2069,NWT,CWLI,NCEP,0
2235,NWT,Hay River CYHY,NCEP,0
2215,NWT,Inuvik CYEV,NCEP,0
2322,NWT,Norman Wells CYVQ,NCEP,0
2782,NWT,CWBJ,NCEP,0
2801,NWT,CWMT,NCEP,0
2220,NWT,Fort Simpson,NCEP,0
2303,NWT,Fort Smith Airport,NCEP,0
440,BC,Bear Ck. Reservoir,BCHydro,0
693,YT,Beaver Creek Airport (AWS),NAVCAN,0
688,YT,Burwash Airport (AWS),NAVCAN,0
705,YT,Carmacks (AU7),EC,0
2946,NWT,CWJL,NCEP,0
3003,YT,CWJN,NCEP,0
2972,NWT,CWSY,NCEP,0
2974,NWT,CWTE,NCEP,0
2745,YT,CYDB,NCEP,0
3001,YT,CZOC,NCEP,0
2990,NWT,CZPK,NCEP,0
701,YT,Dawson City (AU8),EC,0
696,YT,Faro Airport (AWS),NAVCAN,0
703,YT,Faro (AU2/AWS),EC,0
698,YT,Haines Junction (AU8),EC,0
699,YT,Herschel Island (AU8),EC,0
700,YT,Ivvavik National Park (AU8),EC,0
686,YT,Komakuk Beach (AU5),EC,0
689,YT,Mayo Airport (AWS),NAVCAN,0
706,YT,Old Crow (AU8),EC,0
702,YT,Rock River (AU8),EC,0
692,YT,Shingle Point (AU5),EC,0
695,YT,Teslin Airport (AWS),NAVCAN,0
704,YT,Teslin (AU2),EC,0
691,YT,Watson Lake Airport,NAVCAN,0
694,YT,Whitehorse Airport,NAVCAN,0

